Source,Target
ISSUED TO SURFACING DS-GRG,ISSUED TO COATING TC(FF)-GRG
RETURNED TO SURFACING DS-GRG,ISSUED TO COATING TC(SF)-GRG
ISSUED TO SURFACING-DS (A14-SF)-GRG,ISSUED TO COATING ULTRA TC(FF)-GRG
RETURNED TO SURFACING-DS (A14-SF)-GRG,ISSUED TO COATING-TC-GRG
ISSUED TO SURFACING-DS (A2)-GRG,ISSUED TO COATING-ULTRA TC-GRG
RETURNED TO SURFACING-DS (A2)-GRG,ISSUED TO F.S. STRIPPING-GRG
ISSUED TO QC-DS-GRG,ISSUED TO PACKING (UNCOATED TINTED)-GRG
RETURNED TO QC-DS-GRG,ISSUED TO PACKING (UNCOATED)-GRG
ISSUED TO QC-DS (A14-SF)-GRG,ISSUED TO PACKING UC QC TS (FF)-GRG
RETURNED TO QC-DS (A14-SF)-GRG,RETURNED TO COATING TC(FF)-GRG
ISSUED TO QC DS (A2)-GRG,RETURNED TO COATING TC(SF)-GRG
RETURNED TO QC DS (A2)-GRG,RETURNED TO COATING ULTRA TC(FF)-GRG
ISSUED TO SURFACING TS(FF)-GRG,RETURNED TO COATING-TC-GRG
RETURNED TO SURFACING TS(FF)-GRG,RETURNED TO COATING-ULTRA TC-GRG
ISSUED TO SURFACING-TS (A14)-GRG,RETURNED TO F.S. STRIPPING-GRG
RETURNED TO SURFACING-TS (A14)-GRG,RETURNED TO PACKING (UNCOATED TINTED)-GRG
ISSUED TO SURFACING-TS (A2)- GRG,RETURNED TO PACKING (UNCOATED)-GRG
RETURNED TO SURFACING-TS (A2)- GRG,RETURNED TO PACKING UC QC TS (FF)-GRG
ISSUED TO QC-TS (FF)-GRG,ISSUED TO COATING TC (A14-SF)-GRG
RETURNED TO QC-TS (FF)-GRG,ISSUED TO COATING-TC (A14)-GRG
ISSUED TO QC-TS (A14)-GRG,ISSUED TO COATING-TC (A14-FF)-GRG
RETURNED TO QC-TS (A14)-GRG,ISSUED TO COATING-ULTRA TC (A14)-GRG
ISSUED TO QC-TS (A2)-GRG,ISSUED TO F.S.STRIPPING (A14)-GRG
RETURNED TO QC-TS (A2)-GRG,ISSUED TO F.S.STRIPPING (A14-FF)-GRG
,ISSUED TO PACKING (UNCOATED) A14- GRG
,RETURNED TO COATING TC (A14-SF)-GRG
,RETURNED TO COATING-TC (A14)-GRG
,RETURNED TO COATING-TC (A14-FF)-GRG
,RETURNED TO COATING-ULTRA TC (A14)-GRG
,RETURNED TO F.S.STRIPPING (A14)-GRG
,RETURNED TO F.S.STRIPPING (A14-FF)-GRG
,RETURNED TO PACKING (UNCOATED) A14- GRG
,ISSUED TO COATING-TC (A2)-GRG
,RETURNED TO COATING-TC (A2)-GRG
,ISSUED TO QC-TINTING (FF)-GRG
,ISSUED TO QC-TINTING (SF)-GRG
,ISSUED TO QC-TINTING-GRG
,ISSUED TO TINTING (A14)-GRG
,ISSUED TO TINTING (A14-SF)-GRG
,ISSUED TO TINTING (A2)-GRG
,ISSUED TO TINTING (FF)-GRG
,ISSUED TO TINTING (SF)-GRG
,ISSUED TO TINTING-GRG
,ISSUED TO TINTING-QC ( A14-SF)-GRG
,ISSUED TO TINTING-QC (A14)-GRG
,ISSUED TO TINTING-QC (A14-SF)-GRG
,ISSUED TO TINTING-QC (A2)-GRG
,RETURNED TO QC-TINTING (FF)-GRG
,RETURNED TO QC-TINTING (SF)-GRG
,RETURNED TO QC-TINTING-GRG
,RETURNED TO TINTING (A14)-GRG
,RETURNED TO TINTING (A14-SF)-GRG
,RETURNED TO TINTING (A2)-GRG
,RETURNED TO TINTING (FF)-GRG
,RETURNED TO TINTING (SF)-GRG
,RETURNED TO TINTING-GRG
,RETURNED TO TINTING-QC ( A14-SF)-GRG
,RETURNED TO TINTING-QC (A14)-GRG
,RETURNED TO TINTING-QC (A14-SF)-GRG
,RETURNED TO TINTING-QC (A2)-GRG
,ISSUED TO F S STRIPPING (FF)-GRG
